단어,빈도수
한양,18
DNA,18
달린다,18
대우건설,18
약,18
떨고,18
무한,18
받아,18
신제품,18
업,18
벤,18
HMM,18
넷,18
경영인,18
줌,18
바탕,18
코어,18
색,18
반전,18
취재,18
만의,18
부각,18
소형,18
인식,18
프로,18
케이,18
폭넓게,18
사막,18
우군,18
비판,18
열기,18
롤드컵,18
강화하는,17
화학사,17
살펴봤더니,17
업종,17
얼,17
제약,17
부족,17
백,17
구자열,17
KDN,17
스페셜,17
혼다,17
나와,17
다변,17
새로,17
율,17
짓는다,17
CES,17
재현,17
제철소,17
폴란드,17
반,17
내비게이션,17
발간,17
창조,17
명예,17
장통,17
카카오,17
분투,17
콜,17
그레이,17
경기도,17
앞두고,17
뚜렷,17
내일,17
원년,17
신성,17
없다,17
점유,17
항공우주,17
화성,17
부,17
사가,17
형사,17
PS,17
만든,17
NH,17
투데이,17
복위,17
진심,17
현재,17
카본,17
일감,17
연관,17
대계,17
선포,17
무섭게,17
정재훈,17
백신,17
솔,17
논란,17
국동,17
지영,17
변모,17
인더스,17
환경부,17
佛,17
산학,17
데우고,16
휴대폰,16
수다,16
외출,16
중대,16
대만,16
기기,16
GSSK,16
산다,16
전자레인지,16
갈,16
머리,16
음식,16
란,16
파주,16
찬,16
IRA,16
CVC,16
아시아,16
열풍,16
코닝,16
섬유,16
단장,16
공정,16
거기,16
확,16
분주,16
우린,16
팩트,16
빼고,16
보고,16
아듀,16
장비,16
돼,16
무,16
여,16
애경,16
어떻게,16
대장,16
단행,16
초점,16
천,16
클러스터,16
공단,16
통신,16
우리나라,16
밖,16
분할,16
보인다,16
삼현,16
닻,16
피,16
카타르,16
결정,16
확정,16
현상,16
서밋,16
좋은,16
지휘,16
라이벌,16
독점,16
조직개편,16
착공,16
윤석열,16
사와,15
뜨거운,15
zip,15
우승,15
발주,15
특명,15
궤도,15
동국제강,15
히스토리,15
유지,15
천억원,15
전담,15
가속도,15
모듈러,15
끌,15
확충,15
최병철,15
빠지다,15
영향,15
옵션,15
Korea,15
⑰,15
용기,15
소비,15
다른,15
정상,15
부활,15
주소,15
테마주,15
악화,15
엠,15
미리,15
박지원,15
점,15
있다,15
자산운용,15
여부,15
사용,15
주춤,15
엘코젠,15
서도,15
핫이슈,15
차단,15
승격,15
벨수소,15
이미지,15
기업인,15
지도,15
수립,15
체계,15
솔솔,15
노리는,15
링,15
작년,15
출시,15
홍의,15
발판,15
촉각,15
지멘스,15
나섰다,15
맞붙나,15
충남,15
보성,15
초대형,15
담다,15
트램,15
주는,15
야심,15
삼만리,15
올라탄,15
바꾼다,15
다음,15
여력,15
될것,15
신도시,15
후끈,15
풀었다,15
ICT,15
전세계,14
위험,14
북미,14
테마,14
통합,14
드러내고,14
가장,14
출격,14
ENI,14
구상,14
인상,14
완공,14
약속,14
조용히,14
진격,14
양산,14
이어진다,14
끝,14
숨기,14
빛났다,14
시간여행,14
디벨로퍼,14
트레이딩,14
치,14
과산화수소,14
프리미엄,14
푼다,14
비바,14
번,14
질주,14
물질,14
앞섰다,14
조치,14
살린다,14
UP,14
수자원공사,14
제시,14
리그,14
가격,14
일류,14
지게차,14
누가,14
액,14
권오갑,14
오른,14
이해욱,14
곳간,14
시민,14
붓는,14
인사이트,14
다양한,14
컨소시엄,14
온실가스,14
탁월,14
게,14
만난,14
엔비디아,14
완화,14
결집,14
Biz,14
직스,14
김준,14
부심,14
고심,14
유출,14
부담,14
공통,14
떴다,14
품질,14
중책,14
박성철,14
체코,14
갖춘,14
재양,14
천조,14
혜주,14
연어,14
퀀텀,14
갈아타는,14
요청,14
정상회담,14
준,14
그래도,14
맞댄다,14
듣는다,14
힘준다,14
주유소,14
고전,14
헌,13
늘리는,13
했다간,13
Pick,13
사고,13
어깨동무,13
안주,13
에게,13
탄탄한,13
올린,13
신호탄,13
금투,13
빠진,13
앤지,13
주문,13
만대,13
양식,13
플레이,13
유열,13
여전,13
