단어,빈도수
더벨정,4
드림,7
최전선,4
넘었다,3
밸류업,22
화석연료,11
끝났다수소,2
규제,40
개혁,4
퀀텀,14
점프,13
이솔,18
루스,18
청약,32
리츠,4
우리,55
페달,49
차영주,1
금,32
혹독한,1
신고식,1
거친,1
향방,7
출하,18
견조,2
엘앤,3
에프,9
상향,28
길일,3
확인,12
하세요,3
만난다,4
그래도,14
오를,9
오른다,29
뭘,10
사야,9
아주,23
포커스,33
모주,24
첫날,23
증거,23
디케,10
이락,10
제이,12
케이,18
히터,13
받아,18
필로스,65
∙,43
전시회,49
HWORLD,33
참가,25
MW,70
급,96
선보인다,10
인터뷰,84
박가우,20
찾아서,20
주지,24
달성,125
선언,71
전해,55
제품,30
탁월,14
쇼,55
직위,24
프랑스,28
관,30
운영,38
성황리,11
종료,12
위해,190
교류,37
파나시아,6
올릴,1
추출,6
파,5
훈풍,40
재상,3
나서나,1
재도전,8
적기,2
부산,119
산업대,56
시상식,20
우하이,29
전기,52
수상,63
자구,11
책,11
만들어야,2
결국,13
색채,10
잡는다,67
세계박람회,9
부울경,11
메가시티,9
밝다,9
상의,20
상공,9
이명근,54
정진근,27
수태,27
수상자,10
히스토리,15
zip,15
⑩韓,9
지평,10
잭팟,25
리업,2
스킬,2
맞춤,10
풍력발전,22
재생,84
EPC,9
총동원,11
성공,49
워치,10
한성,25
희,35
도시,128
정비,11
선두,50
공통점,26
찾아라,11
모듈러,15
참여,78
발족,25
맞춘다,6
뚫는,21
해냈다지,6
가능,44
우뚝,29
활발,43
서울대,4
협,3
양성,31
당분간,10
타분,8
야,13
특기,8
살려라,8
응원,4
간식,3
⋅,3
쿡,3
구상,14
서경,3
하우,3
징,3
페어,3
상반기,52
효자,19
노릇,6
컨콜,11
대치,5
충족,5
태풍,3
피해,10
완전,9
익,52
회복,33
뒷받침,34
초점,16
활,64
찾나,4
스튜어드,3
온다,20
⑦,22
김훈태,3
극찬,1
시민,14
철학,2
국립대,1
정규,1
과목,1
배운다,1
가도,12
꿈틀,7
사의,8
교토,8
굴,8
속속,10
사라진,5
퓨처,10
엠,15
포스코건설,26
하이테크,5
호조,24
탄탄,22
R,8
공포,25
덮,4
친,30
원자로,13
