,cnt,description,link,org_link,pDate,title
10,11,"◆<b>에누마</b>코리아 - YBM, AI디지털교과서 공동 개발 MOU 체결 글로벌 에듀테크 기업 <b>에누마</b>코리아(대표 전유택)가 YBM(대표 허문호, 정용환)과 ‘2022 개정 교육과정 AI디지털교과서 공동 개발’을 위한 업무협약(MOU)을... ",http://www.lawissue.co.kr/view.php?ud=202311161842378129204ead0791_12,http://www.lawissue.co.kr/view.php?ud=202311161842378129204ead0791_12,2023-11-16 18:44:00,"[IT이슈] 롯데시네마, '러브액츄얼리', '냉정과열정사이' 개봉 20주년 단독 개..."
11,12,에듀테크 기업 <b>에누마</b>코리아가 YBM과 ‘2022 개정 교육과정 AI디지털교과서 공동 개발’을 위한 업무협약(MOU)을 체결했다. 이번 협약은 YBM이 새로운 교육 과정에 맞춰 제작한 지류 교과서 콘텐츠에 기반해 <b>에누마</b>가 AI... ,https://www.venturesquare.net/903197,https://www.venturesquare.net/903197,2023-11-16 15:14:00,"<b>에누마</b>코리아, YBM과 업무협약 체결"
12,13,"에듀테크 기업 <b>에누마</b>코리아(대표 전유택)가 YBM(대표 허문호, 정용환)과 ‘2022 개정 교육과정... 이번 협약은 YBM이 새로운 교육 과정에 맞춰 제작한 지류 교과서 콘텐츠에 기반해 <b>에누마</b>가 AI 디지털 교과서를 만드는... ",http://www.beyondpost.co.kr/view.php?ud=20231116095621967346a9e4dd7f_30,http://www.beyondpost.co.kr/view.php?ud=20231116095621967346a9e4dd7f_30,2023-11-16 10:00:00,"<b>에누마</b>코리아·YBM, AI디지털교과서 공동 개발 MOU 체결"
13,14,AI디지털교과서 공동 개발 업무 협약식에 참석한 허문호 YBM 대표(좌) 전유택 <b>에누마</b>코리아 대표(우)/사진 제공=<b>에누마</b>코리아글로벌 에듀테크 기업 <b>에누마</b>코리아가 YBM과 AI디지털교과서 개발을 위한 업무협약(MOU)을... ,https://news.mtn.co.kr/news-detail/2023111609170250502,https://news.mtn.co.kr/news-detail/2023111609170250502,2023-11-16 09:20:00,"<b>에누마</b>코리아-YBM, AI디지털교과서 공동개발 MOU 체결"
14,15,임민진 조선에듀 기자 | YBM이 기초교육 앱 ‘토도’시리즈로 유명한 에듀테크 회사 <b>에누마</b>코리아와 13일... 에듀테크기업 <b>에누마</b>의 디지털 콘텐츠 개발 전문성과 시너지를 발휘하면 학교 현장에 새로운 학습경험을... ,https://edu.chosun.com/site/data/html_dir/2023/11/15/2023111580107.html,https://edu.chosun.com/site/data/html_dir/2023/11/15/2023111580107.html,2023-11-16 09:02:00,"YBM, <b>에누마</b>코리아와 ‘영어·수학 AI디지털교과서 공동개발 추진’ 업무협약..."
15,16,"또 교육 IT서비스 혁신 분야 교육부 장관상은 <b>에누마</b>코리아가, 단체부문 국방 IT서비스 혁신 분야 국방부... 교육 IT서비스 혁신 분야의 교육부 장관상은 <b>에누마</b>코리아가 수상했다. 또 단체부문 국방 IT서비스 혁신 분야는... ",https://zdnet.co.kr/view/?no=20231115170359,https://zdnet.co.kr/view/?no=20231115170359,2023-11-15 17:05:00,LG전자 H&amp;A사업본부·시큐레터 등 장관상···'2023 IT서비스 혁신대상' 수상
16,17,교육 IT서비스 혁신 분야 교육부 장관상은 <b>에누마</b>코리아가 받았다. <b>에누마</b>코리아는 실리콘밸리 기반 에듀테크 기업이다. 학습자 학습성을 개선하는 교육 소프트웨어를 개발해 교육 IT 서비스 혁신에 기여했다. 국방... ,https://www.etnews.com/20231115000106,https://www.etnews.com/20231115000106,2023-11-15 17:02:00,[IT서비스학회 추계학술대회]LG전자·수자원공사 등 9곳·7명 등 16개상 시상
17,18,"교육 IT서비스 혁신 분야 교육부 장관상에는 <b>에누마</b>코리아가 수상했다. 단체부문 국방 IT서비스 혁신 분야 국방부 장관상에는 정보통신산업진흥원와 마드라스체크가, 전자신문사장상은 엘아이지넥스원이 수상했다.... ",https://www.etnews.com/20231115000028,https://www.etnews.com/20231115000028,2023-11-15 17:02:00,[IT서비스학회 추계학술대회]'디플정' 중간 점검 한자리
18,19,"교육 IT서비스 혁신 분야의 교육부 장관상은 <b>에누마</b>코리아가 받았다. 또 국방 IT서비스 혁신 분야의 국방부 장관상은 정보통신산업진흥원과 마드라스체크가, 전자신문 사장상은 엘아이지넥스원이 각각 수상했다. 개인... ",https://zdnet.co.kr/view/?no=20231115164600,https://zdnet.co.kr/view/?no=20231115164600,2023-11-15 16:47:00,한국IT서비스학회 '2023 추계학술대회'···디플정 등 26개 세션 '시선'
19,20,교육 IT서비스 혁신 분야의 교육부 장관상엔 <b>에누마</b>코리아가 수상했다. 아울러 국방 IT서비스 혁신 분야의 경우 국방부 장관상에 정보통신산업진흥원과 마드라스체크가 수상했다. 개인 부문의 경우 행안부 장관상은... ,https://www.ddaily.co.kr/page/view/2023111515520807793,https://www.ddaily.co.kr/page/view/2023111515520807793,2023-11-15 16:01:00,IT서비스학회 '2023 추계학술대회' 15일 개최
20,21,"교육 IT서비스 혁신 분야의 교육부 장관상은 <b>에누마</b>코리아, 단체부문 국방 IT서비스 혁신 분야의 국방부 장관상은 정보통신산업진흥원와 마드라스체크가 각각 수상했다. 아울러 한국IT서비스산업협회장상은... ",https://www.the-pr.co.kr/news/articleView.html?idxno=50880,https://www.the-pr.co.kr/news/articleView.html?idxno=50880,2023-11-15 10:54:00,"LG전자 H&amp;A사업본부, IT서비스 기술혁신으로 과기정통부 장관상"
21,22,"에듀테크 스타트업 ‘<b>에누마</b>’ 이수인 대표는 개막 연설에서 “우리가 모두 더 나은 세상을 위한 공동체의 퍼즐 한 조각이 되어 지금 마주하는 너무나 거대하고 다양한 사회문제를 소통과 교류, 연결과 협력을 통해... ",http://monthly.chosun.com/client/news/viw.asp?ctcd=C&nNewsNumb=202311100057,http://monthly.chosun.com/client/news/viw.asp?ctcd=C&nNewsNumb=202311100057,2023-11-15 10:44:00,국내 대기업의 사회공헌프로그램 | 연말의 문턱에서 되짚어보는 우리 기업의 ...
22,23,"KT는 특히 기업전용 LLM 사업화에 '업스테이지', Math-GPT를 비롯한 교육 영역에선 '콴다', '<b>에누마</b>' 업무시스템 구축에는 '비아이매트릭스' 등 다양한 AI 스타트업들과 믿음을 활용한 AI 사업모델을 공동으로... ",http://www.koit.co.kr/news/articleView.html?idxno=118065,http://www.koit.co.kr/news/articleView.html?idxno=118065,2023-11-03 18:14:00,"통신업계, AI 기술 공개…사업 확장 잰걸음"
23,24,"KT는 기업전용 LLM 사업화에 ‘업스테이지’, 매스-GPT를 비롯한 교육 영역에선 ‘콴다’와 ‘<b>에누마</b>’, 기업용 업무 개인비서 영역에는 ‘비아이매트릭스’ 등 다양한 AI 스타트업들과 ‘믿음’을 활용한 AI... ",https://www.ceoscoredaily.com/page/view/2023110216354069480,https://www.ceoscoredaily.com/page/view/2023110216354069480,2023-11-03 07:02:00,"통신 3사, ‘AI B2B’ 경쟁 점화…AI컨택센터 등 기업용 AI 시장 선점 ‘치열..."
