,cnt,description,link,org_link,pDate,title
127,128,끝으로 IBK-<b>스마일게이트</b> ESG 펀드를 운용하고 있는 <b>스마일게이트 인베스트먼트</b>의 구영권 부사장이 멘토로 참석해 참여자들이 제안한 아이디어가 사회적 임팩트를 확산할 수 있도록 조언과 격려의 말을 전하며... ,http://www.sisacast.kr/news/articleView.html?idxno=46586,http://www.sisacast.kr/news/articleView.html?idxno=46586,2023-10-26 09:24:00,"<b>스마일게이트</b> 희망스튜디오, 'CSR멤버십 5기 아이디어톤 행사' 성료"
128,129,이와 함께 IBK-<b>스마일게이트</b> ESG 펀드를 운용하고 있는 <b>스마일게이트 인베스트먼트</b>의 구영권 부사장이 멘토로 참석해 참여자들이 제안한 아이디어가 사회적 임팩트를 확산할 수 있도록 조언과 격려의 말을 전하며... ,https://www.straightnews.co.kr/news/articleView.html?idxno=239993,https://www.straightnews.co.kr/news/articleView.html?idxno=239993,2023-10-26 09:14:00,"스마게 희망스튜디오, CSR멤버십 5기 아이디어톤 개최"
129,130,IMM<b>인베스트먼트</b>와 <b>스마일게이트인베스트먼트</b> 등은 지난해 7월 구주거래를 통해 시프트업에 투자하며 기업가치를 1조원 이상으로 판단했다. 시프트업 주식을 취득한 에이스빌 피티이는 싱가포르에 소재한 기업으로... ,http://news.bizwatch.co.kr/article/mobile/2023/10/24/0036,http://news.bizwatch.co.kr/article/mobile/2023/10/24/0036,2023-10-24 18:07:00,"위메이드, 시프트업 주식 매각해 700억원 차익"
130,131,"넣으면 1분 만에 광고 영상이 완성되는 서비스를 전시. 브이캣은 올해 4월 105억원의 자금 확보에 성공한 기업. 프리미어파트너스, <b>스마일게이트인베스트먼트</b>, KT<b>인베스트먼트</b>와 KB<b>인베스트먼트</b> 등이 투자자로 참여.",https://www.topdaily.kr/articles/95335,https://www.topdaily.kr/articles/95335,2023-10-24 17:32:00,"[TOP's Pick] [벤처투자] 골드만삭스, 40억 달러 인프라 펀드 결성 外"
131,132,"6회차 CB 역시 4회차 CB와 마찬가지로 총 330억원 규모로 발행했는데 <b>스마일게이트</b>자산운용의 '<b>스마일게이트</b>튜딜펀드'를 비롯해 <b>스마일게이트인베스트먼트</b>의 '스마트룬샷게임콘텐츠펀드', 파라투스<b>인베스트먼트</b>의... ",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202310191506220760102266,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202310191506220760102266,2023-10-24 10:48:00,"[더벨]전문사모 러브콜 나노신소재, 제2의 에코프로 기대감"
132,133,"24일 업계에 따르면 <b>스마일게이트인베스트먼트</b>가 지난달 말까지 올 한해 투자한 스타트업 기업은 48개로, 투자 대상은 제약·바이오·헬스케어, 패션, 인공지능(AI) 등이다. 회사는 올해 연말까지 5개에서 최대 10개사 정도... ",http://moneys.mt.co.kr/news/mwView.php?no=2023102317145919087,http://moneys.mt.co.kr/news/mwView.php?no=2023102317145919087,2023-10-24 08:10:00,&quot;투자 선순환 구조 마련&quot;… 스타트업 돕기에 나선 <b>스마일게이트</b>
133,134,22일 게임업계에 따르면 <b>스마일게이트 인베스트먼트</b>는 올 들어 지난달 말까지 총 48개 스타트업에 투자했다. 이 회사의 운용 자산 규모는 작년 말 1조1785억원에서 지난달 말 기준 1조2200억원으로 늘었다. 설립 7년 이내... ,https://www.hankyung.com/article/2023102266371,https://www.hankyung.com/article/2023102266371,2023-10-22 18:07:00,<b>스마일게이트</b>의 투자 본능…&quot;올해만 48개 스타트업 투자&quot;
134,135,"한편 이번 연구개발특구펀드 운용사에는 이노폴리스파트너스, 대성창업투자, <b>스마일게이트인베스트먼트</b>, 대덕벤처파트너스, 포스코기술투자, 케이런벤처스, 인라이트벤처스 등이 참여했다.",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=739444,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=739444,2023-10-22 10:50:00,대덕특구 50주년 기념 '혁신기업 투자유치 경진대회' 성료
135,136,이에 프라이머와 <b>스마일게이트인베스트먼트</b>도 멘토링 등 지원사업을 통해 비링커의 스케일업을 지원하고 있다. 신용보증기금도 최근 리틀펭귄 지원사업으로 20억원의 보증 등 금융지원을 제공하기로 했다. 리틀펭귄은... ,http://news.mt.co.kr/mtview.php?no=2023102013401260790,http://news.mt.co.kr/mtview.php?no=2023102013401260790,2023-10-22 09:48:00,대기업도 쓰는 원스톱 조달 플랫폼…VC가 반한 또다른 이유
136,137,18개 투자기관은 △더웰스<b>인베스트먼트</b> △뮤렉스파트너스 △브릿지폴<b>인베스트먼트</b> △BSK<b>인베스트먼트</b> △<b>스마일게이트인베스트먼트</b> △스타셋<b>인베스트먼트</b> △스톤브릿지벤처스 △아이디벤처스... ,http://www.queen.co.kr/news/articleView.html?idxno=397539,http://www.queen.co.kr/news/articleView.html?idxno=397539,2023-10-20 15:54:00,"발명진흥회, IP투자기관과 'IP 가치평가·투자 활성화' 맞손"
137,138,18개 투자기관은 △더웰스<b>인베스트먼트</b> △뮤렉스파트너스 △브릿지폴<b>인베스트먼트</b> △BSK<b>인베스트먼트</b> △<b>스마일게이트인베스트먼트</b> △스타셋<b>인베스트먼트</b> △스톤브릿지벤처스 △아이디벤처스... ,https://www.news1.kr/articles/5205570,https://www.news1.kr/articles/5205570,2023-10-20 15:20:00,"발명진흥회, IP투자기관과 'IP 가치평가·투자 활성화' 맞손"
138,139,"이번 업무협약에 참여한 18개 투자기관은 더웰스<b>인베스트먼트</b>, 뮤렉스파트너스, 브릿지폴<b>인베스트먼트</b>, BSK<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b>, 스타셋<b>인베스트먼트</b>, 스톤브릿지벤처스, 아이디벤처스... ",https://www.cstimes.com/news/articleView.html?idxno=564377,https://www.cstimes.com/news/articleView.html?idxno=564377,2023-10-20 14:16:00,"한국발명진흥회, IP투자기관 업무협약식·IP투자 협의체 발족"
139,140,"유안타<b>인베스트먼트</b> △<b>스마일게이트인베스트먼트</b> 등의 바이오 분야 전문 심사역이 대거 참여했다. 국내 바이오 분야 SI로는 일동홀딩스, 안국약품 및 바이넥스 등이 참여했다. 바이오협회 관계자는 &quot;1부 전문가... ",http://www.hitnews.co.kr/news/articleView.html?idxno=49199,http://www.hitnews.co.kr/news/articleView.html?idxno=49199,2023-10-20 14:02:00,"바이오협회, 바이오기업 대상 후속 투자 유치 설명회 개최"
140,141,"SJ투자파트너스, 유안타<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b> 등 바이오 분야 전문 심사역이 대거 참여했으며, 국내 바이오 분야 전략적 투자자(SI)는 일동홀딩스, 안국약품 및 바이넥스 등이 참여했다.",http://www.newsis.com/view/?id=NISX20231020_0002490345&cID=10434&pID=13200,http://www.newsis.com/view/?id=NISX20231020_0002490345&cID=10434&pID=13200,2023-10-20 11:18:00,"바이오협회, '바이오기업 후속 투자 유치' 설명회 개최"
